                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.325,                 3.3825,                  1.661,                 0.0202,                0.94888,                0.35925,                0.10794,                 2.0502,                 3.0597,                 1.2794,                0.00012,                0.00012,                0.00012
                      2,                 2.0744,                 2.0974,                 1.3405,                0.04093,                0.97764,                0.61424,                0.18859,                 2.0375,                 2.6765,                 1.2391,             0.00025485,             0.00025485,             0.00025485
                      3,                 1.9952,                 1.5481,                 1.3495,                0.02116,                0.99361,                0.68611,                0.22753,                 1.8549,                 2.5673,                 1.1838,             0.00038416,             0.00038416,             0.00038416
                      4,                 1.9483,                 1.5201,                 1.3427,                0.05477,                0.95527,                0.64768,                 0.2199,                 1.8604,                 2.5608,                 1.2319,             0.00050792,             0.00050792,             0.00050792
                      5,                 1.8699,                 1.3696,                 1.3359,                0.62757,                0.29072,                0.45977,                 0.1422,                 2.1284,                 2.6799,                 1.4674,             0.00062614,             0.00062614,             0.00062614
                      6,                 1.9647,                 1.3453,                 1.3008,                 0.5965,                0.20767,                0.48367,                0.16187,                 2.0044,                 2.7119,                  1.421,             0.00073882,             0.00073882,             0.00073882
                      7,                 1.9852,                 1.4046,                 1.3201,                0.82525,                0.63578,                 0.7795,                0.32135,                 1.9345,                 2.1088,                 1.2683,             0.00084595,             0.00084595,             0.00084595
                      8,                 1.8495,                 1.2834,                 1.3065,                0.87265,                0.78275,                0.86665,                0.32498,                 1.9508,                 2.0141,                 1.2731,             0.00094754,             0.00094754,             0.00094754
                      9,                 1.8862,                 1.2556,                 1.2848,                0.70796,                0.78223,                0.75084,                0.26228,                 2.0542,                 1.9392,                 1.3287,              0.0010436,              0.0010436,              0.0010436
                     10,                 1.8687,                 1.2728,                 1.3413,                0.64513,                0.82748,                0.69639,                0.24966,                  1.937,                 1.8722,                 1.3176,              0.0011341,              0.0011341,              0.0011341
                     11,                 1.8461,                 1.2265,                 1.2996,                0.86657,                0.84026,                0.86081,                 0.3215,                 1.9145,                  1.772,                 1.3865,               0.001219,               0.001219,               0.001219
                     12,                 1.8542,                 1.2307,                 1.2815,                0.87513,                0.89776,                0.92901,                0.40882,                 1.7849,                 1.5136,                  1.248,              0.0012985,              0.0012985,              0.0012985
                     13,                 1.9195,                 1.2086,                 1.2995,                0.88766,                0.88179,                0.93807,                0.41385,                 1.8122,                 1.3841,                 1.2626,              0.0013723,              0.0013723,              0.0013723
                     14,                 1.8981,                 1.2221,                 1.3598,                0.89538,                0.90233,                0.93404,                0.41773,                   1.77,                 1.2302,                  1.263,              0.0014406,              0.0014406,              0.0014406
                     15,                 1.7971,                 1.1655,                 1.2853,                0.88137,                0.90196,                0.93929,                0.41349,                 1.7827,                 1.2364,                 1.2583,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.8082,                 1.1344,                 1.2507,                0.81595,                0.84984,                0.89028,                0.31191,                 2.0648,                 1.3567,                 1.4013,               0.001406,               0.001406,               0.001406
                     17,                 1.8453,                 1.1229,                 1.2771,                0.81355,                0.85037,                0.87954,                0.30903,                 2.0632,                 1.3629,                 1.3971,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.8044,                 1.0968,                 1.2821,                0.90542,                0.90415,                0.94952,                0.42089,                 1.8069,                 1.1172,                 1.2872,              0.0013268,              0.0013268,              0.0013268
                     19,                   1.76,                 1.0662,                 1.2826,                0.88524,                0.91183,                0.94478,                0.40237,                 1.8944,                 1.1522,                 1.3328,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.742,                 1.0792,                  1.241,                 0.8774,                0.91456,                0.94353,                0.37882,                 1.9346,                 1.2078,                  1.367,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.7687,                 1.0874,                 1.2416,                0.91554,                0.94249,                0.95745,                0.42565,                 1.7715,                 1.1472,                 1.2955,               0.001208,               0.001208,               0.001208
                     22,                 1.7255,                 1.0475,                 1.2519,                0.90527,                0.91596,                0.95077,                0.38777,                 1.8972,                   1.12,                 1.4024,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6893,                 1.0497,                 1.2521,                0.91606,                0.91693,                0.95432,                0.41312,                 1.8028,                 1.1308,                 1.3102,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.7416,                  1.065,                 1.2592,                0.91979,                0.91591,                0.95727,                0.41628,                   1.88,                  1.126,                 1.2982,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6786,                 0.9805,                 1.1953,                0.93631,                0.95847,                0.97735,                0.46572,                 1.7428,                 1.0638,                 1.2689,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.7516,                0.98615,                 1.2492,                0.94281,                0.95208,                 0.9773,                0.46532,                 1.7701,                 1.0265,                 1.2799,                0.00101,                0.00101,                0.00101
                     27,                 1.6994,                0.95311,                 1.2274,                0.92794,                0.95527,                0.97711,                0.47717,                  1.673,                 1.0325,                  1.247,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.7065,                 1.0097,                 1.2478,                0.94329,                0.94888,                0.97475,                0.48678,                 1.6145,                 1.0432,                 1.2186,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.6928,                0.96914,                  1.221,                0.94681,                0.95527,                0.97613,                0.48417,                 1.6398,                 1.0033,                 1.2264,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.6793,                0.94881,                 1.2546,                0.94934,                0.95847,                 0.9791,                0.46735,                 1.7634,                0.97399,                 1.2694,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.6708,                 0.9265,                 1.2072,                0.94309,                0.96166,                0.98307,                0.47344,                 1.7033,                0.93624,                 1.2477,               0.000812,               0.000812,               0.000812
                     32,                 1.6844,                0.91917,                 1.2316,                0.92959,                0.97023,                0.97851,                 0.4676,                 1.7006,                0.92803,                 1.2477,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.6304,                0.90658,                  1.219,                0.94083,                0.97125,                0.97901,                0.48205,                 1.6549,                0.91837,                 1.2168,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.622,                0.89665,                 1.1786,                0.92863,                0.95609,                0.97507,                0.48153,                 1.6714,                0.92593,                 1.2132,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.6063,                0.90604,                 1.1947,                0.94339,                0.97444,                0.98428,                0.51293,                 1.5726,                0.86689,                 1.1894,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.6872,                0.89097,                 1.2166,                 0.9397,                0.98403,                0.98532,                0.51314,                 1.5176,                0.84342,                 1.1783,               0.000614,               0.000614,               0.000614
                     37,                 1.6004,                0.86311,                 1.1697,                0.94486,                0.97444,                0.98259,                0.51259,                 1.5194,                0.85489,                 1.1856,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.6145,                 0.8769,                 1.2059,                0.94499,                0.97764,                0.98188,                0.50034,                  1.573,                0.84693,                 1.1962,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5458,                0.85858,                 1.1741,                0.96223,                0.97685,                0.98581,                0.52451,                 1.4868,                0.81006,                 1.1746,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5706,                0.82217,                 1.1634,                0.94972,                0.99042,                0.98745,                0.53243,                 1.4982,                0.79764,                 1.1854,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5618,                0.97054,                 1.1972,                0.95658,                0.98541,                0.98796,                0.53677,                  1.494,                0.78204,                 1.1699,               0.000416,               0.000416,               0.000416
                     42,                 1.6777,                0.91804,                 1.2199,                0.97553,                0.97125,                0.99008,                 0.5008,                 1.6142,                 0.7918,                 1.1739,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.6001,                0.87682,                 1.1566,                0.96162,                0.96805,                0.98696,                0.52693,                 1.5327,                0.83051,                 1.1702,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4949,                0.84827,                 1.1351,                0.93812,                0.96869,                0.98288,                0.47776,                 1.6604,                0.89256,                 1.2296,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.5275,                0.86813,                 1.1443,                0.92951,                0.96904,                0.98488,                0.51285,                 1.5506,                0.85964,                 1.1814,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.5409,                0.84363,                 1.1545,                0.95906,                0.97444,                0.98697,                0.53384,                 1.4784,                0.82226,                 1.1467,               0.000218,               0.000218,               0.000218
                     47,                 1.5171,                0.82659,                 1.1525,                0.95034,                0.97823,                0.98679,                0.53823,                 1.4638,                0.81688,                 1.1516,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.5091,                0.82118,                 1.1315,                0.94858,                0.98083,                0.98694,                0.52193,                 1.5262,                0.82422,                 1.1839,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4383,                0.80578,                 1.1311,                0.94763,                0.98083,                0.98711,                0.51277,                 1.5503,                0.82799,                 1.1938,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.4753,                0.78812,                 1.1651,                0.94971,                0.98403,                  0.988,                0.52734,                 1.5088,                 0.8066,                 1.1757,               5.96e-05,               5.96e-05,               5.96e-05
