                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0369,                 4.5624,                 1.9657,                0.00171,                0.29072,                0.00388,                0.00115,                 2.9216,                 4.3718,                 1.7595,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 2.5966,                 3.9188,                 1.6296,                0.00456,                0.52757,                0.15449,                0.04301,                 2.3623,                 4.0425,                  1.383,             0.00018209,             0.00018209,             0.00018209
                      3,                 2.4564,                 2.7283,                 1.4693,                0.00918,                0.73539,                0.29115,                0.12162,                 2.2881,                  3.709,                 1.3783,             0.00027448,             0.00027448,             0.00027448
                      4,                 2.4388,                 2.2756,                 1.4098,                0.00995,                0.80638,                0.29239,                0.10076,                 2.2549,                  3.643,                 1.3827,             0.00036291,             0.00036291,             0.00036291
                      5,                 2.3225,                 2.0658,                 1.3639,                0.01117,                 0.8724,                0.38705,                0.10796,                  2.251,                 3.4087,                 1.3972,             0.00044738,             0.00044738,             0.00044738
                      6,                 2.3124,                 1.9619,                 1.3381,                0.01046,                0.85361,                0.36001,                0.09372,                 2.2476,                 3.4795,                 1.3882,             0.00052789,             0.00052789,             0.00052789
                      7,                 2.2583,                 1.8607,                 1.3136,                0.01101,                0.88104,                0.39093,                0.16109,                 2.1544,                 3.4222,                 1.3471,             0.00060443,             0.00060443,             0.00060443
                      8,                 2.2555,                 1.8105,                 1.3521,                0.01023,                0.84939,                0.23626,                0.10674,                 2.2266,                 3.4341,                  1.406,             0.00067702,             0.00067702,             0.00067702
                      9,                 2.2312,                  1.782,                 1.3558,                 0.0109,                0.85763,                0.70211,                0.28401,                 2.1808,                 3.0846,                 1.3322,             0.00074564,             0.00074564,             0.00074564
                     10,                 2.1665,                 1.6587,                 1.3757,                0.93393,                0.13022,                0.74535,                0.33099,                  2.125,                 2.7555,                 1.2936,              0.0008103,              0.0008103,              0.0008103
                     11,                 2.1769,                 1.6027,                 1.3142,                0.90798,                0.13486,                0.78433,                0.34672,                 2.1456,                  2.635,                  1.298,               0.000871,               0.000871,               0.000871
